Ticker,Name,Recommendation Score
BGY,Blackrock Enhanced Internationa,0.03
BHE,"Benchmark Electronics, Inc.",1.61
BHK,Blackrock Core Bond Trust Black,0.34
BHLB,"Berkshire Hills Bancorp, Inc.",0.91
BHP,BHP Group Limited,1.90
BK,The Bank of New York Mellon Cor,1.60
BKE,"Buckle, Inc. (The)",2.02
BKH,Black Hills Corporation,1.03
BKN,BlackRock Investment Quality Mu,0.29
BKT,BlackRock Income Trust Inc. (Th,-0.15
BKU,"BankUnited, Inc.",1.78
BLW,Blackrock Limited Duration Inco,1.24
BLX,Banco Latinoamericano de Comerc,1.03
BME,Blackrock Health Sciences Trust,0.37
BMI,"Badger Meter, Inc.",1.48
BMO,Bank Of Montreal,0.65
BMY,Bristol-Myers Squibb Company,2.13
BNS,Bank Nova Scotia Halifax Pfd 3,0.58
BOE,Blackrock Enhanced Global Divid,0.79
BOH,Bank of Hawaii Corporation,0.59
BR,"Broadridge Financial Solutions,",0.97
BRC,Brady Corporation,1.57
BRFS,BRF S.A.,1.62
BRO,"Brown & Brown, Inc.",0.98
BSAC,Banco Santander - Chile,0.94
BSBR,Banco Santander Brasil SA,0.71
BSL,Blackstone GSO Senior Floating ,1.33
BTA,BlackRock Long-Term Municipal A,0.93
BTE,Baytex Energy Corp,1.57
BTO,John Hancock Financial Opportun,1.04
BTT,BlackRock Municipal 2030 Target,0.39
BTU,Peabody Energy Corporation,1.53
BTZ,BlackRock Credit Allocation Inc,1.04
BVN,Buenaventura Mining Company Inc,1.17
BWA,BorgWarner Inc.,1.80
BXC,Bluelinx Holdings Inc.,0.88
BYD,Boyd Gaming Corporation,1.63
BYM,Blackrock Municipal Income Qual,0.23
BZ,KANZHUN LIMITED - American Depo,0.79
BZH,"Beazer Homes USA, Inc.",1.13
C,"Citigroup, Inc.",1.07
CACI,"CACI International, Inc.",1.18
CAE,CAE Inc.,0.76
CAG,"ConAgra Brands, Inc.",1.41
CAH,"Cardinal Health, Inc.",0.79
CAT,"Caterpillar, Inc.",1.82
CB,Chubb Limited,1.06
CBL,"CBL & Associates Properties, In",1.23
CBT,Cabot Corporation,1.83
CBU,"Community Financial System, Inc",0.98
CBZ,"CBIZ, Inc.",0.47
CCJ,Cameco Corporation,-0.61
CCK,"Crown Holdings, Inc.",1.24
CCL,Carnival Corporation,1.22
CCU,"Compania Cervecerias Unidas, S.",1.16
CDE,"Coeur Mining, Inc.",1.77
CEE,The Central and Eastern Europe ,1.21
CF,"CF Industries Holdings, Inc.",1.90
CFR,"Cullen/Frost Bankers, Inc.",0.75
CHA,Chagee Holdings Limited,2.46
CHD,"Church & Dwight Company, Inc.",1.55
CHE,Chemed Corp,2.07
CHH,"Choice Hotels International, In",1.62
CHKR,Chesapeake Granite Wash Trust,2.72
CHN,"China Fund, Inc. (The)",0.87
CHT,"Chunghwa Telecom Co., Ltd.",1.01
CI,The Cigna Group,1.12
CIA,"Citizens, Inc.",0.37
CIB,Grupo Cibest S.A.,1.06
CIF,MFS Intermediate High Income Fu,1.27
CIG,Comp En De Mn Cemig,1.80
CII,BlackRock Enhanced Large Cap Co,0.75
CIM,Chimera Investment Corporation,0.96
CL,Colgate-Palmolive Company,2.29
CLB,Core Laboratories Inc.,1.08
CLDT,Chatham Lodging Trust (REIT),-0.48
CLH,"Clean Harbors, Inc.",0.92
CLS,"Celestica, Inc.",-142.86
CLX,Clorox Company (The),1.52
CM,Canadian Imperial Bank of Comme,0.72
CMA,Comerica Incorporated,1.28
CMC,Commercial Metals Company,-0.47
CMG,"Chipotle Mexican Grill, Inc.",1.39
CMI,Cummins Inc.,2.10
CMRE,Costamare Inc.,1.60
CMS,CMS Energy Corporation,1.25
CMU,MFS High Yield Municipal Trust,1.16
CNC,Centene Corporation,1.41
CNH,CNH Industrial N.V.,0.83
CNI,Canadian National Railway Compa,1.39
CNK,Cinemark Holdings Inc Cinemark ,1.19
CNO,"CNO Financial Group, Inc.",0.88
CNP,"CenterPoint Energy, Inc (Holdin",1.02
CNQ,Canadian Natural Resources Limi,1.61
CNX,CNX Resources Corporation,0.42
COF,Capital One Financial Corporati,-2.08
COO,"The Cooper Companies, Inc.",0.68
COP,ConocoPhillips,1.61
COR,"Cencora, Inc.",0.37
CP,Canadian Pacific Kansas City Li,0.91
CPA,"Copa Holdings, S.A.",1.75
CPAC,Cementos Pacasmayo S.A.A.,1.62
CPF,Central Pacific Financial Corp ,0.95
CPK,Chesapeake Utilities Corporatio,0.97
CPT,Camden Property Trust,-0.19
