Ticker,Name,Signal,Recommendation Score,Value Score,Quality Score,Momentum Score,P/E Score,ROA Score,PB Score,Leadership Score,Insider Buy Score,P/E,ROA%,Earnings pr. Share,Price to Book,Insider Buy%,50d Average Change%,Sector,Industry,Country,Owned
FLS.CO,FLSmidth & Co. A/S,Hold,0.23,0.02,0.09,0.12,-0.15,0.29,-0.12,0.09,0.0,19.88,4.98,23.88,2.6,0.0,0.09,Industrials,Specialty Industrial Machinery,Denmark,False
SKJE.CO,Skjern Bank A/S,Hold,0.22,-0.03,0.07,0.18,0.73,-0.83,0.06,0.07,0.0,12.05,1.78,25.23,1.55,0.0,0.19,Financial Services,Banks - Regional,Denmark,False
PAAL-B.CO,Per Aarsleff Holding A/S B,Hold,0.19,-0.12,0.14,0.18,-0.11,0.16,-0.17,0.14,0.0,19.59,4.68,46.31,3.09,0.0,0.17,Industrials,Engineering & Construction,Denmark,False
NKT.CO,NKT A/S,Hold,0.16,-0.0,0.1,0.06,-0.75,0.91,-0.17,0.1,0.0,25.52,7.63,31.35,3.07,0.0,0.04,Industrials,Electrical Equipment & Parts,Denmark,False
DJUR.CO,Djurslands Bank A/S,Hold,0.16,0.03,-0.04,0.17,0.8,-0.86,0.08,-0.04,0.0,11.14,1.55,90.25,1.43,0.0,0.16,Financial Services,Banks - Regional,Denmark,False
CEMAT.CO,Cemat A/S,Hold,0.1,0.19,-0.07,-0.02,0.96,-0.89,0.12,-0.07,0.0,8.4,1.29,0.11,1.21,0.0,-0.01,Real Estate,Real Estate Services,Denmark,False
DANSKE.CO,Danske Bank A/S,Hold,0.04,-0.09,0.06,0.07,0.77,-0.94,0.08,0.06,0.0,11.52,0.61,27.29,1.47,0.0,0.04,Financial Services,Banks - Regional,Denmark,False
NTG.CO,NTG Nordic Transport Group A/S,Sell,-0.0,-0.4,0.29,0.11,-0.2,-0.03,-0.17,0.29,0.0,20.27,4.25,9.81,3.05,0.0,0.07,Industrials,Integrated Freight & Logistics,Denmark,False
GABR.CO,Gabriel Holding A/S,Hold,0.0,-0.25,0.27,-0.02,0.01,-0.28,0.03,0.27,0.0,18.63,3.7,13.1,1.75,0.0,-0.02,Consumer Cyclical,Textile Manufacturing,Denmark,False
FLUG-B.CO,Flügger group A/S B,Sell,-0.07,-0.2,0.03,0.1,0.14,-0.47,0.13,0.03,0.0,17.61,3.23,19.31,1.13,0.0,0.06,Basic Materials,Specialty Chemicals,Denmark,False
COLO-B.CO,Coloplast B A/S,Sell,-0.1,-0.34,0.26,-0.02,-1.13,0.99,-0.2,0.26,0.0,34.89,10.01,16.16,7.88,0.0,-0.02,Healthcare,Medical Instruments & Supplies,Denmark,False
GJ.CO,Glunz & Jensen Holding A/S,Sell,-0.1,-0.2,-0.02,0.12,-0.26,-0.03,0.1,-0.02,0.0,20.77,4.26,3.9,1.36,0.0,0.08,Industrials,Specialty Industrial Machinery,Denmark,False
RILBA.CO,Ringkjøbing Landbobank A/S,Sell,-0.11,-0.56,0.36,0.09,0.2,-0.58,-0.18,0.36,0.0,17.16,2.89,90.69,3.36,0.0,0.06,Financial Services,Banks - Regional,Denmark,False
ALSYDB.CO,AL Sydbank A/S,Sell,-0.13,-0.21,0.1,-0.02,0.68,-0.9,-0.0,0.1,0.0,12.65,1.18,44.07,1.88,0.0,-0.01,Financial Services,Banks - Regional,Denmark,False
MNBA.CO,Møns Bank A/S,Sell,-0.13,-0.19,-0.06,0.12,0.58,-0.9,0.13,-0.06,0.0,13.74,1.12,28.52,1.09,0.0,0.09,Financial Services,Banks - Regional,Denmark,False
CBRAIN.CO,cBrain A/S,Sell,-0.17,-0.36,0.37,-0.18,-1.15,1.0,-0.2,0.37,0.0,37.14,12.17,2.94,7.28,0.0,-0.19,Technology,Software - Application,Denmark,False
DANT.CO,Dantax A/S,Sell,-0.21,-0.2,0.04,-0.05,0.63,-0.95,0.12,0.04,0.0,13.24,0.33,21.9,1.18,0.0,-0.03,Technology,Consumer Electronics,Denmark,False
TRYG.CO,Tryg A/S,Sell,-0.3,-0.38,0.09,-0.01,-0.17,-0.09,-0.12,0.09,0.0,20.04,4.14,7.97,2.57,0.0,-0.01,Financial Services,Insurance - Diversified,Denmark,False
DAB.CO,Danske Andelskassers Bank A/S,Sell,-0.31,-0.88,0.42,0.15,-0.08,-0.86,0.06,0.42,0.0,19.35,1.49,1.0,1.54,0.0,0.12,Financial Services,Banks - Regional,Denmark,False
ALK-B.CO,ALK-Abelló B A/S,Sell,-0.32,-0.39,0.04,0.03,-1.19,1.0,-0.2,0.04,0.0,45.73,11.83,4.99,8.18,0.0,0.02,Healthcare,Biotechnology,Denmark,False
TRIFOR.CO,Trifork Group AG,Sell,-0.35,-0.55,0.1,0.09,0.19,-0.76,0.02,0.1,0.0,17.19,2.18,5.38,1.78,0.0,0.06,Technology,Information Technology Services,Switzerland,False
CHEMM.CO,ChemoMetec A/S,Sell,-0.37,-0.4,0.06,-0.03,-1.2,1.0,-0.2,0.06,0.0,67.12,19.65,10.69,18.54,0.0,-0.02,Healthcare,Medical Devices,Denmark,False
KBHL.CO,Københavns Lufthavne A/S,Sell,-0.49,-0.59,0.13,-0.03,-1.19,0.8,-0.2,0.13,0.0,44.84,6.71,149.41,11.3,0.0,-0.02,Industrials,Airports & Air Services,Denmark,False
NETC.CO,Netcompany Group A/S,Sell,-0.52,-0.82,0.16,0.14,-1.2,0.58,-0.2,0.16,0.0,76.52,5.77,4.77,4.79,0.0,0.1,Technology,Information Technology Services,Denmark,False
AMBU-B.CO,Ambu A/S,Sell,-0.62,-0.58,-0.05,0.01,-1.17,0.78,-0.19,-0.05,0.0,38.82,6.61,2.28,3.91,0.0,0.0,Healthcare,Medical Devices,Denmark,False
GN.CO,GN Store Nord A/S,Sell,-0.76,-0.86,0.01,0.09,-0.62,-0.3,0.06,0.01,0.0,24.07,3.66,4.64,1.54,0.0,0.06,Healthcare,Medical Devices,Denmark,False
DSV.CO,DSV A/S,Sell,-0.77,-1.13,0.22,0.14,-1.18,0.24,-0.18,0.22,0.0,41.78,4.85,39.92,3.42,0.0,0.11,Industrials,Integrated Freight & Logistics,Denmark,False
ALMB.CO,Alm. Brand A/S,Sell,-0.91,-1.09,0.19,-0.01,-0.77,-0.26,-0.06,0.19,0.0,25.84,3.76,0.7,2.18,0.0,-0.01,Financial Services,Insurance - Diversified,Denmark,False
VWS.CO,Vestas Wind Systems A/S,Sell,-1.16,-1.47,0.16,0.16,-0.79,-0.48,-0.2,0.16,0.0,26.03,3.19,6.96,6.97,0.0,0.13,Industrials,Specialty Industrial Machinery,Denmark,False
COLUM.CO,Columbus A/S,Sell,-1.33,-1.42,0.06,0.03,-0.96,-0.48,0.03,0.06,0.0,29.06,3.2,0.34,1.74,0.0,0.02,Technology,Information Technology Services,Denmark,False
SOLAR-B.CO,Solar B A/S,Sell,-1.52,-1.81,0.22,0.07,-1.2,-0.76,0.15,0.22,0.0,57.77,2.15,3.54,0.87,0.0,0.04,Technology,Electronics & Computer Distribution,Denmark,False
